agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Sachse Police Department,2017-01-01,Texas,17809,TX05721,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,1,1,1,6,6,13,0,0,0,3,0,0,0,6,4,0,0,0,0,0,5782,0,0,0,0,5782,28964,0,0,0,0,0,0,0,0,994,994,7,1006,12033,13046,77749,0,0,0,2251,0,0,0,1192,9603,11,297,822,2238,27,497,0,26105,16161,1876,752,48786,11,297,48,0,27,0,0,26105,4258,11,608,31365
Sachse Police Department,2017-02-01,Texas,17809,TX05721,5,0,0,3,0,5,13,4,0,1,0,0,0,0,0,0,0,0,7,1,11,19,2,0,0,8,0,0,0,6,3,0,0,0,0,0,8305,0,0,3667,1523,13495,64740,0,0,0,0,0,0,0,0,0,0,101,170,8958,9229,152204,1866,0,0,4735,0,0,0,1691,937,116,573,3742,1119,5162,6,0,64641,7931,1241,2934,87464,10,167,0,622,1964,6,0,39778,1119,0,0,43665
Sachse Police Department,2017-03-01,Texas,17809,TX05721,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,7,3,8,18,2,1,0,1,0,1,0,7,6,0,0,0,0,0,0,0,0,0,0,0,26962,0,0,0,0,0,0,0,0,0,0,250,356,29343,29948,83873,6590,311,0,1001,0,808,0,535,20705,564,109,99,0,3358,0,0,25483,26231,0,1065,56910,0,50,0,0,126,0,0,41644,15021,0,195,57036
Sachse Police Department,2017-04-01,Texas,17809,TX05721,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,8,10,23,2,0,0,1,0,0,0,10,10,0,0,0,0,0,3667,0,0,1150,0,4817,18646,0,0,0,0,0,0,0,0,0,0,148,1058,17611,18816,60926,633,0,0,31,0,0,0,1164,16989,778,411,11143,709,1120,2610,0,18646,5836,342,684,42279,281,411,0,709,21,0,0,22375,1576,0,0,25374
Sachse Police Department,2017-05-01,Texas,17809,TX05721,3,1,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,4,2,9,15,2,0,1,2,0,0,0,2,8,0,0,0,0,1840,23651,0,0,932,0,26423,0,0,0,0,0,0,0,0,0,0,0,65,224,16042,16330,42753,21,0,12,2559,0,0,0,129,13608,336,179,19529,993,1057,2397,0,0,14878,1367,2018,42753,25,53,0,620,0,0,0,0,1272,0,31,2001
Sachse Police Department,2017-06-01,Texas,17809,TX05721,1,1,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,6,6,8,20,0,0,0,4,2,0,0,7,7,0,0,0,0,2983,670,0,5652,994,0,10300,18646,0,0,0,0,0,0,0,0,0,0,118,741,46891,47750,95342,0,0,0,2021,3847,0,0,573,41309,1830,209,34426,2623,2359,1740,0,18646,10749,1243,2871,76696,53,77,0,0,0,0,0,18646,3534,0,199,22510
Sachse Police Department,2017-07-01,Texas,17809,TX05721,0,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,7,5,7,19,0,0,0,7,0,0,0,8,4,0,0,0,0,623,0,0,0,1219,0,1842,0,0,0,0,0,0,0,0,0,0,0,83,549,19309,19941,21784,0,0,0,11804,0,0,0,607,7531,4182,169,9369,1243,1420,567,0,0,3169,1641,25,21784,53,158,0,0,200,0,0,0,185,0,25,622
Sachse Police Department,2017-08-01,Texas,17809,TX05721,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,3,3,11,17,0,0,0,7,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,10777,0,0,0,0,0,0,0,0,0,0,61,286,17613,17960,39515,0,0,0,10100,860,0,0,2260,4740,167,3786,2364,937,750,0,0,6215,12053,2465,0,28737,36,1338,0,0,4,0,0,6215,139,743,0,8475
Sachse Police Department,2017-09-01,Texas,17809,TX05721,6,0,1,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,2,5,11,18,0,0,0,7,0,0,0,9,2,0,0,0,0,0,22488,838,0,0,0,23326,6837,0,0,0,0,0,0,0,0,0,0,15,522,16371,16908,53908,0,0,0,7379,0,0,0,8721,808,368,1986,3709,2668,2863,2362,0,21754,7132,4230,0,47071,124,930,67,497,6,0,0,21754,7,1514,0,24900
Sachse Police Department,2017-10-01,Texas,17809,TX05721,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,4,15,22,0,0,0,7,3,0,0,3,9,0,0,0,0,0,373,0,0,0,0,373,1,0,0,0,0,0,0,0,0,0,0,52,595,125676,126324,126699,0,0,0,2959,3795,0,0,5236,114334,237,379,112126,0,373,0,0,1,7353,3009,3218,126698,81,0,140,0,5,0,0,1,783,0,0,1011
Sachse Police Department,2017-11-01,Texas,17809,TX05721,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,7,2,9,18,0,0,1,4,0,1,0,7,5,0,0,0,0,0,994,0,0,0,0,994,34185,0,0,0,0,0,0,0,0,0,0,94,184,6163,6442,75805,0,0,0,1719,0,682,0,950,3090,113,436,466,1057,1,0,0,32321,6356,870,0,41621,51,121,0,1305,1,0,0,17404,603,0,0,19485
Sachse Police Department,2017-12-01,Texas,17809,TX05721,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,7,3,10,20,1,1,0,9,0,0,0,1,8,0,0,0,0,0,0,3816,0,1788,0,5604,1,0,0,0,0,0,0,0,0,0,0,17,456,22779,23253,28859,106,186,0,4563,0,0,0,164,18233,117,15,5184,746,2051,11188,0,1,5806,2967,783,28858,0,15,0,0,0,0,0,14918,3729,0,0,18662
Sachse Police Department,2018-01-01,Texas,18532,TX05721,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,9,12,0,0,0,2,0,0,0,3,7,0,0,0,0,0,0,0,246,0,11528,11774,0,0,0,0,0,0,0,0,0,0,0,85,147,11115,11347,23121,0,0,0,1005,0,0,0,622,9720,81,540,4251,0,0,0,0,0,18249,0,0,23121,51,75,0,0,0,0,0,0,1564,0,0,1690
Sachse Police Department,2018-02-01,Texas,18532,TX05721,1,0,0,1,1,0,3,2,0,1,0,0,0,0,0,0,0,0,2,0,7,9,0,0,1,2,0,0,0,0,6,0,0,0,0,0,1,0,1,2973,0,2975,8738,0,0,0,0,0,0,0,0,0,0,25,0,10655,10681,31132,0,0,1,1912,0,0,0,0,8767,504,64,4188,607,87,1193,0,8738,7014,0,0,22394,0,0,0,0,0,0,0,8737,0,0,0,8737
