cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2015_2016,001437,Catholic University of America (the),Private,Accounting and Related Services.,Bachelor's Degree,28,24125,20860
2015_2016,001437,Catholic University of America (the),Private,Accounting and Related Services.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Accounting and Related Services.,Bachelor's Degree,32,26000,22983
2016_2017,001437,Catholic University of America (the),Private,Accounting and Related Services.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Anthropology.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Anthropology.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Anthropology.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Anthropology.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Anthropology.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Anthropology.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Architecture and Related Services, Other.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Architecture and Related Services, Other.",First Professional Degree,,81541,86179
2016_2017,001437,Catholic University of America (the),Private,"Architecture and Related Services, Other.",Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Architecture and Related Services, Other.",First Professional Degree,,,94907
2015_2016,001437,Catholic University of America (the),Private,Architecture.,Bachelor's Degree,90,26678,22250
2015_2016,001437,Catholic University of America (the),Private,Architecture.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Architecture.,First Professional Degree,,41000,60300
2016_2017,001437,Catholic University of America (the),Private,Architecture.,Bachelor's Degree,72,26678,22999
2016_2017,001437,Catholic University of America (the),Private,Architecture.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Architecture.,First Professional Degree,,41000,59330
2015_2016,001437,Catholic University of America (the),Private,Area Studies.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Area Studies.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Bible/Biblical Studies.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Bible/Biblical Studies.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Bible/Biblical Studies.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Bible/Biblical Studies.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Biochemistry, Biophysics and Molecular Biology.",Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Biochemistry, Biophysics and Molecular Biology.",Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Biology, General.",Bachelor's Degree,23,24504,21368
2015_2016,001437,Catholic University of America (the),Private,"Biology, General.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Biology, General.",Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Biology, General.",Bachelor's Degree,21,27000,23780
2016_2017,001437,Catholic University of America (the),Private,"Biology, General.",Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Biology, General.",Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Biomedical/Medical Engineering.,Bachelor's Degree,25,27000,24561
2015_2016,001437,Catholic University of America (the),Private,Biomedical/Medical Engineering.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Biomedical/Medical Engineering.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Biomedical/Medical Engineering.,Bachelor's Degree,26,26500,22752
2016_2017,001437,Catholic University of America (the),Private,Biomedical/Medical Engineering.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Biomedical/Medical Engineering.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Biotechnology.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Biotechnology.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Business Administration, Management and Operations.",Undergraduate Certificate or Diploma,,,
2015_2016,001437,Catholic University of America (the),Private,"Business Administration, Management and Operations.",Bachelor's Degree,31,25000,22536
2015_2016,001437,Catholic University of America (the),Private,"Business Administration, Management and Operations.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Business Administration, Management and Operations.",First Professional Degree,,43132,42093
2016_2017,001437,Catholic University of America (the),Private,"Business Administration, Management and Operations.",Undergraduate Certificate or Diploma,,,
2016_2017,001437,Catholic University of America (the),Private,"Business Administration, Management and Operations.",Bachelor's Degree,27,25000,25071
2016_2017,001437,Catholic University of America (the),Private,"Business Administration, Management and Operations.",Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Business Administration, Management and Operations.",First Professional Degree,,41000,40623
2015_2016,001437,Catholic University of America (the),Private,"Business/Commerce, General.",Master's Degree,21,41500,43243
2016_2017,001437,Catholic University of America (the),Private,"Business/Commerce, General.",Master's Degree,21,20500,32902
2015_2016,001437,Catholic University of America (the),Private,Cell/Cellular Biology and Anatomical Sciences.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Cell/Cellular Biology and Anatomical Sciences.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Cell/Cellular Biology and Anatomical Sciences.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Cell/Cellular Biology and Anatomical Sciences.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Chemistry.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Chemistry.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Chemistry.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Chemistry.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"City/Urban, Community and Regional Planning.",First Professional Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Civil Engineering.,Bachelor's Degree,27,27000,24792
2015_2016,001437,Catholic University of America (the),Private,Civil Engineering.,Post-baccalaureate Certificate,,,
2015_2016,001437,Catholic University of America (the),Private,Civil Engineering.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Civil Engineering.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Civil Engineering.,Bachelor's Degree,35,22250,20032
2016_2017,001437,Catholic University of America (the),Private,Civil Engineering.,Post-baccalaureate Certificate,,,
2016_2017,001437,Catholic University of America (the),Private,Civil Engineering.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Civil Engineering.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Classics and Classical Languages, Literatures, and Linguistics.",Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Classics and Classical Languages, Literatures, and Linguistics.",Post-baccalaureate Certificate,,,
2015_2016,001437,Catholic University of America (the),Private,"Classics and Classical Languages, Literatures, and Linguistics.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Classics and Classical Languages, Literatures, and Linguistics.",Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Classics and Classical Languages, Literatures, and Linguistics.",Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Classics and Classical Languages, Literatures, and Linguistics.",Post-baccalaureate Certificate,,,
2016_2017,001437,Catholic University of America (the),Private,"Classics and Classical Languages, Literatures, and Linguistics.",Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Classics and Classical Languages, Literatures, and Linguistics.",Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Clinical, Counseling and Applied Psychology.",Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Clinical, Counseling and Applied Psychology.",Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Clinical/Medical Laboratory Science/Research and Allied Professions.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Clinical/Medical Laboratory Science/Research and Allied Professions.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Communication and Media Studies.,Bachelor's Degree,40,26000,22841
2016_2017,001437,Catholic University of America (the),Private,Communication and Media Studies.,Bachelor's Degree,33,26000,22014
2015_2016,001437,Catholic University of America (the),Private,"Computer and Information Sciences, General.",Undergraduate Certificate or Diploma,,,
2015_2016,001437,Catholic University of America (the),Private,"Computer and Information Sciences, General.",Bachelor's Degree,18,,24680
2015_2016,001437,Catholic University of America (the),Private,"Computer and Information Sciences, General.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Computer and Information Sciences, General.",First Professional Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Computer and Information Sciences, General.",Undergraduate Certificate or Diploma,,,
2016_2017,001437,Catholic University of America (the),Private,"Computer and Information Sciences, General.",Bachelor's Degree,10,,28924
2016_2017,001437,Catholic University of America (the),Private,"Computer and Information Sciences, General.",Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Computer and Information Sciences, General.",First Professional Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Computer Engineering.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Computer Engineering.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Computer Science.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Computer Science.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Computer Science.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Computer Science.,Bachelor's Degree,13,,24423
2016_2017,001437,Catholic University of America (the),Private,Computer Science.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Computer Science.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Curriculum and Instruction.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Curriculum and Instruction.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Drama/Theatre Arts and Stagecraft.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Drama/Theatre Arts and Stagecraft.,Master's Degree,10,,63322
2016_2017,001437,Catholic University of America (the),Private,Drama/Theatre Arts and Stagecraft.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Drama/Theatre Arts and Stagecraft.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Economics.,Bachelor's Degree,11,,17435
2015_2016,001437,Catholic University of America (the),Private,Economics.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Economics.,Bachelor's Degree,,,21218
2016_2017,001437,Catholic University of America (the),Private,Economics.,Master's Degree,13,,42286
2015_2016,001437,Catholic University of America (the),Private,"Education, General.",Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Education, General.",Post-baccalaureate Certificate,,,
2015_2016,001437,Catholic University of America (the),Private,"Education, General.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Education, General.",Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Education, General.",Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Education, General.",Post-baccalaureate Certificate,,,
2016_2017,001437,Catholic University of America (the),Private,"Education, General.",Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Education, Other.",Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Education, Other.",Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Educational Administration and Supervision.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Educational Administration and Supervision.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Educational Administration and Supervision.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Electrical, Electronics and Communications Engineering.",Bachelor's Degree,12,,26536
2015_2016,001437,Catholic University of America (the),Private,"Electrical, Electronics and Communications Engineering.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Electrical, Electronics and Communications Engineering.",Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Electrical, Electronics and Communications Engineering.",Bachelor's Degree,12,,24349
2016_2017,001437,Catholic University of America (the),Private,"Electrical, Electronics and Communications Engineering.",Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Electrical, Electronics and Communications Engineering.",Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Engineering-Related Fields.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Engineering-Related Fields.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"English Language and Literature, General.",Bachelor's Degree,32,25500,23106
2015_2016,001437,Catholic University of America (the),Private,"English Language and Literature, General.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"English Language and Literature, General.",Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"English Language and Literature, General.",Bachelor's Degree,18,,21599
2016_2017,001437,Catholic University of America (the),Private,"English Language and Literature, General.",Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"English Language and Literature, General.",Doctoral Degree,10,,28645
2015_2016,001437,Catholic University of America (the),Private,Finance and Financial Management Services.,Bachelor's Degree,34,27000,24830
2016_2017,001437,Catholic University of America (the),Private,Finance and Financial Management Services.,Bachelor's Degree,44,27000,24307
2015_2016,001437,Catholic University of America (the),Private,Fine and Studio Arts.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Fine and Studio Arts.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Foreign Languages, Literatures, and Linguistics, Other.",Post-baccalaureate Certificate,,,
2016_2017,001437,Catholic University of America (the),Private,"Foreign Languages, Literatures, and Linguistics, Other.",Post-baccalaureate Certificate,,,
2015_2016,001437,Catholic University of America (the),Private,"Germanic Languages, Literatures, and Linguistics.",Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Germanic Languages, Literatures, and Linguistics.",Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Health Services/Allied Health/Health Sciences, General.",Associate's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Health Services/Allied Health/Health Sciences, General.",Associate's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,History.,Bachelor's Degree,21,25545,22192
2015_2016,001437,Catholic University of America (the),Private,History.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,History.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,History.,Bachelor's Degree,20,24397,22427
2016_2017,001437,Catholic University of America (the),Private,History.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,History.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Housing and Human Environments.,First Professional Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Housing and Human Environments.,First Professional Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Human Resources Management and Services.,Undergraduate Certificate or Diploma,,,
2015_2016,001437,Catholic University of America (the),Private,Human Resources Management and Services.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Human Resources Management and Services.,Master's Degree,33,41000,44347
2016_2017,001437,Catholic University of America (the),Private,Human Resources Management and Services.,Undergraduate Certificate or Diploma,,,
2016_2017,001437,Catholic University of America (the),Private,Human Resources Management and Services.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Human Resources Management and Services.,Master's Degree,27,41000,39878
2015_2016,001437,Catholic University of America (the),Private,"Human Services, General.",Undergraduate Certificate or Diploma,,,
2015_2016,001437,Catholic University of America (the),Private,"Human Services, General.",Associate's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Human Services, General.",Undergraduate Certificate or Diploma,,,
2016_2017,001437,Catholic University of America (the),Private,"Human Services, General.",Associate's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,International Business.,Bachelor's Degree,13,,24531
2016_2017,001437,Catholic University of America (the),Private,International Business.,Bachelor's Degree,16,,23139
2015_2016,001437,Catholic University of America (the),Private,International Relations and National Security Studies.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,International Relations and National Security Studies.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Law.,First Professional Degree,203,141201,133529
2016_2017,001437,Catholic University of America (the),Private,Law.,First Professional Degree,195,141718,139404
2015_2016,001437,Catholic University of America (the),Private,Legal Research and Advanced Professional Studies.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Legal Research and Advanced Professional Studies.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,16,,17000
2016_2017,001437,Catholic University of America (the),Private,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Library Science and Administration.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Library Science and Administration.,First Professional Degree,,41000,43023
2016_2017,001437,Catholic University of America (the),Private,Library Science and Administration.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Library Science and Administration.,First Professional Degree,,41000,45999
2016_2017,001437,Catholic University of America (the),Private,Library Science and Administration.,Graduate/Professional Certificate,,,
2015_2016,001437,Catholic University of America (the),Private,Management Information Systems and Services.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Management Information Systems and Services.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Management Sciences and Quantitative Methods.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Management Sciences and Quantitative Methods.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Management Sciences and Quantitative Methods.,Bachelor's Degree,,,
