cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2015_2016,001594,Spelman College,Private,"Biochemistry, Biophysics and Molecular Biology.",Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,"Biochemistry, Biophysics and Molecular Biology.",Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,"Biology, General.",Bachelor's Degree,72,27000,26312
2016_2017,001594,Spelman College,Private,"Biology, General.",Bachelor's Degree,80,27000,27498
2015_2016,001594,Spelman College,Private,Chemistry.,Bachelor's Degree,17,NA,25819
2016_2017,001594,Spelman College,Private,Chemistry.,Bachelor's Degree,16,NA,19707
2015_2016,001594,Spelman College,Private,"Computer and Information Sciences, General.",Bachelor's Degree,13,NA,23873
2016_2017,001594,Spelman College,Private,"Computer and Information Sciences, General.",Bachelor's Degree,15,NA,25276
2015_2016,001594,Spelman College,Private,Dance.,Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,Dance.,Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,Drama/Theatre Arts and Stagecraft.,Bachelor's Degree,18,NA,27077
2016_2017,001594,Spelman College,Private,Drama/Theatre Arts and Stagecraft.,Bachelor's Degree,NA,NA,23914
2015_2016,001594,Spelman College,Private,Economics.,Bachelor's Degree,53,27000,29384
2016_2017,001594,Spelman College,Private,Economics.,Bachelor's Degree,52,27000,28589
2015_2016,001594,Spelman College,Private,"Education, General.",Bachelor's Degree,10,NA,27721
2016_2017,001594,Spelman College,Private,"Education, General.",Bachelor's Degree,13,NA,25962
2015_2016,001594,Spelman College,Private,"Engineering, General.",Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,"Engineering, General.",Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,"English Language and Literature, General.",Bachelor's Degree,57,27000,26282
2016_2017,001594,Spelman College,Private,"English Language and Literature, General.",Bachelor's Degree,49,26000,25606
2015_2016,001594,Spelman College,Private,Environmental Control Technologies/Technicians.,Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,Environmental Control Technologies/Technicians.,Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,"Ethnic, Cultural Minority, Gender, and Group Studies.",Bachelor's Degree,29,25000,26637
2016_2017,001594,Spelman College,Private,"Ethnic, Cultural Minority, Gender, and Group Studies.",Bachelor's Degree,33,26000,28199
2016_2017,001594,Spelman College,Private,Film/Video and Photographic Arts.,Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,Fine and Studio Arts.,Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,Fine and Studio Arts.,Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,History.,Bachelor's Degree,17,NA,25476
2016_2017,001594,Spelman College,Private,History.,Bachelor's Degree,11,NA,33165
2015_2016,001594,Spelman College,Private,"Human Development, Family Studies, and Related Services.",Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,"Human Services, General.",Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,"Human Services, General.",Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,International Relations and National Security Studies.,Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,International Relations and National Security Studies.,Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,International/Global Studies.,Bachelor's Degree,NA,24900,22763
2016_2017,001594,Spelman College,Private,International/Global Studies.,Bachelor's Degree,NA,24950,23314
2015_2016,001594,Spelman College,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,Mathematics.,Bachelor's Degree,14,NA,25646
2016_2017,001594,Spelman College,Private,Mathematics.,Bachelor's Degree,21,25310,24160
2015_2016,001594,Spelman College,Private,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,Music.,Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,Music.,Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,Natural Resources Conservation and Research.,Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,Natural Resources Conservation and Research.,Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,Philosophy.,Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,Philosophy.,Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,Physics.,Bachelor's Degree,NA,NA,NA
2016_2017,001594,Spelman College,Private,Physics.,Bachelor's Degree,NA,NA,NA
2015_2016,001594,Spelman College,Private,Political Science and Government.,Bachelor's Degree,78,25400,24410
2016_2017,001594,Spelman College,Private,Political Science and Government.,Bachelor's Degree,66,25120,24178
